Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
68612,Indian Subcontinent,Indian,Asian,69.0458,312.7040,12.7770,0.3494,Indian Subcontinent
68613,Indian Subcontinent,Indian,Asian,42.9246,430.6150,5.2721,27.7116,Indian Subcontinent
68614,Indian Subcontinent,Indian,Asian,2021.9378,82920.2911,828.5877,8585.4972,Indian Subcontinent
68615,Indian Subcontinent,Indian,Asian,10883.6749,47755.6269,1352.5587,476.3458,Indian Subcontinent
68616,Indian Subcontinent,Indian,Asian,38863.8000,183600.0000,7133.4000,1350.0000,Indian Subcontinent
68617,Indian Subcontinent,Indian,Asian,35.8544,382.9840,7.1804,25.3230,Indian Subcontinent
68618,Indian Subcontinent,Indian,Asian,77.7211,341.6514,14.1993,2.1794,Indian Subcontinent
68619,Indian Subcontinent,Indian,Asian,46.6937,399.8722,22.0448,14.8008,Indian Subcontinent
68620,Indian Subcontinent,Indian,Asian,94.0888,634.8343,15.1966,21.8652,Indian Subcontinent
68621,Indian Subcontinent,Indian,Asian,125.7635,2146.2028,42.1758,181.2790,Indian Subcontinent
68622,Indian Subcontinent,Indian,Asian,193.7757,1104.6278,18.1024,30.2194,Indian Subcontinent
68623,Indian Subcontinent,Indian,Asian,71.6116,1954.7385,172.2870,111.9081,Indian Subcontinent
68624,Indian Subcontinent,Indian,Asian,87.0381,365.5668,5.5321,1.0631,Indian Subcontinent
68625,Indian Subcontinent,Indian,Asian,1.8756,78043.9714,9460.4068,4196.4790,Indian Subcontinent
68626,Indian Subcontinent,Indian,Asian,131.6405,500.5310,5.6657,0.8442,Indian Subcontinent
68627,Indian Subcontinent,Indian,Asian,14.8146,387.9144,2.3928,37.1453,Indian Subcontinent
68628,Indian Subcontinent,Indian,Asian,34.1844,711.0115,53.4291,39.5720,Indian Subcontinent
68629,Indian Subcontinent,Indian,Asian,33.3090,985.3639,114.4416,43.0459,Indian Subcontinent
68630,Indian Subcontinent,Indian,Asian,166.1072,827.8400,34.1960,9.6388,Indian Subcontinent
68631,Indian Subcontinent,Indian,Asian,76.1361,444.2508,3.2091,14.8164,Indian Subcontinent
68632,Indian Subcontinent,Indian,Asian,113.1103,866.8990,14.9717,46.0040,Indian Subcontinent
68633,Indian Subcontinent,Indian,Asian,0.0000,0.0000,0.0000,0.0000,Indian Subcontinent
68634,Indian Subcontinent,Indian,Asian,13.1112,563.7941,40.6466,38.2284,Indian Subcontinent
68635,Indian Subcontinent,Indian,Asian,23.3264,297.6800,15.3720,15.9576,Indian Subcontinent
68636,Indian Subcontinent,Indian,Asian,132.0459,617.7393,16.2905,7.8935,Indian Subcontinent
68637,Indian Subcontinent,Indian,Asian,11.1282,144.5817,0.8905,11.4667,Indian Subcontinent
68638,Indian Subcontinent,Indian,Asian,472.9857,10885.0242,364.9624,915.0311,Indian Subcontinent
68639,Indian Subcontinent,Indian,Asian,63.6118,560.4883,19.3605,32.1211,Indian Subcontinent
68640,Indian Subcontinent,Indian,Asian,67.4088,637.5775,31.8064,31.5582,Indian Subcontinent
68642,Indian Subcontinent,Indian,Asian,134.3973,537.3200,0.0000,0.0000,Indian Subcontinent
