Corpus_Size,Mean_Alpha,Std_Alpha,CI_Low,CI_High,Mean_R2,Delta_vs_Empirical
10000,1.546094772195222,0.01900233358552099,1.5088501983676008,1.5833393460228433,0.987080854345979,0.07322468571446739
50000,1.5620743401053474,0.019068646001058075,1.5246997939432736,1.5994488862674212,0.9835622309017923,0.08920425362459272
100000,1.5296830999274906,0.011632952737743438,1.5068825125615135,1.5524836872934678,0.9941450018242506,0.05681301344673595
500000,1.5065178144498157,0.005109250423832376,1.4965036836191041,1.5165319452805273,0.9992734443976288,0.033647727969061014
