Iteration,a,b,c,R2,RMSE,MAE,Lmin,Recipe_Length_Groups
1,13.110225880113804,-0.2593090402473163,-0.019492285445922602,0.9851149454467439,0.07559999607053078,0.06197921002624618,13.3,25
2,13.425937654277634,-0.2764992064984075,-0.02077188910696597,0.9898218691983481,0.0678804839822127,0.05461401025655325,13.3,24
3,13.262436327003645,-0.2625378716846354,-0.01908594635866452,0.9763679895560133,0.10029079340887911,0.0795205660371375,13.8,25
4,12.949490828992651,-0.24745473961765516,-0.01811763370371859,0.9781286372532517,0.08832461086539124,0.07098793421614283,13.6,26
5,13.13466988223282,-0.26012517755200243,-0.019419784538253784,0.9845479304653543,0.0776865263896447,0.06774132662362156,13.4,25
6,13.288218054661534,-0.2683386645363673,-0.020121890429186745,0.9885193663630791,0.0688845227783473,0.060008951116578405,13.3,25
7,13.244053228503724,-0.2661596324775561,-0.019846090037015974,0.9897038963030542,0.06606822641516327,0.05601020638169851,13.4,24
8,13.333874067442625,-0.27075325533500655,-0.020169078905306264,0.9910091297298426,0.061744174638198715,0.05366935552996246,13.4,25
9,12.817692411088656,-0.2394263442453082,-0.017341245330377484,0.9809509362063766,0.0803059282793041,0.06678290392413708,13.8,26
10,13.166498282647101,-0.2599322106549334,-0.019116722696762695,0.9876420263355841,0.07042239180478878,0.057561352334857076,13.6,25
11,13.071421071412425,-0.25454200987198966,-0.018719546111768737,0.9838860305690641,0.0775354454281499,0.06516131910169004,13.6,26
12,13.0514890917731,-0.256234861294858,-0.0191357921314866,0.9853623348561826,0.07431881067563881,0.06058690264111256,13.4,25
13,13.117520101747912,-0.2571699805276365,-0.018878626828876192,0.9806737321406782,0.08923922683205932,0.07276792944982342,13.6,24
14,13.148871877610814,-0.25911015333051424,-0.01908552155194007,0.9892955420253724,0.0651154010192121,0.0588130570498516,13.6,25
15,13.337877284362497,-0.26711053039893695,-0.01945205954874436,0.9865530691505384,0.07645766936728073,0.06903303387808726,13.7,25
16,13.113304660019391,-0.2571635556808548,-0.01894447987837127,0.9822913204916421,0.08342547882054302,0.07129776565288935,13.6,25
17,13.346597086434409,-0.2715206005180804,-0.020328189140711217,0.990430893011556,0.0636616838822735,0.05425570915587649,13.4,25
18,13.393297907079225,-0.27212428589031207,-0.020116438890582573,0.9902396415295619,0.06529013773601818,0.05556962004836386,13.5,25
19,13.631168060007814,-0.28374292388096845,-0.021000844983715402,0.9897968201701043,0.06865915256235586,0.059942242804154396,13.5,26
20,13.132882058243416,-0.2609747268423106,-0.019567167671554832,0.9917678412827595,0.056570665460566126,0.04578960036272832,13.3,25
21,13.058793637895585,-0.25332472405184187,-0.018491866983460028,0.9855762582678781,0.07465883538150822,0.06286410692265576,13.7,25
22,13.090055833593484,-0.25758844044520024,-0.01915702365992349,0.9879362317747464,0.06936356400776149,0.059497642737565005,13.4,24
23,13.210537992191124,-0.2658623452823465,-0.020014388052303406,0.9904644311651283,0.06173983120287442,0.052454481316702654,13.3,25
24,13.311856974733965,-0.2705570833079816,-0.020369500645193318,0.9899785297290139,0.06570560847994328,0.05645599482802188,13.3,24
25,13.315408844902931,-0.2702829792823259,-0.020294218508828222,0.9909071553287987,0.06153091900554922,0.05087499320910936,13.3,25
26,13.143620212797755,-0.25751134595511316,-0.01890711106060528,0.9823031617107119,0.0824697561619375,0.06734457846453407,13.6,26
27,13.09826823708631,-0.25450347613191504,-0.018452883342612008,0.9803217671436094,0.08851945223858147,0.07327695634806496,13.8,25
28,13.212590728403017,-0.2666416642397273,-0.020211890011263577,0.9872766523283968,0.07242622617716532,0.06021777274914708,13.2,24
29,13.218335347592268,-0.2620074119338347,-0.0191920936185268,0.9853711416427277,0.07779648379614638,0.06000344912232187,13.6,25
30,13.390654417560814,-0.2779471100223999,-0.02132163955535353,0.9955892690808605,0.04379427853871749,0.03706061627033826,13.0,24
31,13.306477408148453,-0.269458745074514,-0.02013598377167557,0.9908485183421135,0.061827930924395154,0.05420908676702297,13.4,25
32,13.022381942566136,-0.2547155938586361,-0.019091564665107252,0.985561684252649,0.07198863968708856,0.05992756214603802,13.3,26
33,13.172935926832483,-0.2594258570608593,-0.018996469482424685,0.9863815713756473,0.07286550161031755,0.06050517196478296,13.6,26
34,13.179100342994237,-0.26597297956544114,-0.0201629185373636,0.9910550440769911,0.05925817163755222,0.050909260356088455,13.2,25
35,13.003131382359003,-0.25293065768818246,-0.018756506227737,0.9860738154692329,0.07197882635922646,0.060911072187560006,13.5,25
36,12.935958823795682,-0.24926432448052327,-0.018528119677772473,0.9886880612277877,0.06367151636201783,0.05169045365086873,13.4,25
37,13.34562273717082,-0.26934980404876685,-0.01986763579035583,0.9874641519431574,0.07337475439407212,0.06326331468361268,13.6,25
38,13.06703993585443,-0.25514118731506225,-0.018792813441053248,0.983318568181185,0.08021142499920836,0.06373047116291915,13.6,25
39,13.225690210973278,-0.26572511828266915,-0.01991321154791571,0.9883626653694133,0.06855197247222644,0.057615185252124446,13.3,25
40,12.895723757202028,-0.2463905591010656,-0.018185246379010707,0.9779539653758443,0.08739172202185533,0.06494974210618515,13.6,26
41,13.152209116860858,-0.2610625372755809,-0.019488358560911977,0.9910705586527856,0.05907136710004409,0.049163029484725486,13.4,25
42,13.009397551528384,-0.2543896618066478,-0.019060172746660956,0.9878800649469046,0.06687229073560588,0.05036212647671498,13.3,25
43,13.021095196686858,-0.2538348925574035,-0.01888827035911859,0.9827904413577037,0.08027602496757973,0.06787472617020356,13.4,25
44,12.827299663782696,-0.2445921209073657,-0.01833159952502081,0.985938095592974,0.07036760311859573,0.058899514755346084,13.3,24
45,13.052023973281848,-0.25316204692470773,-0.018600262128311874,0.9807608159153481,0.0845194648426027,0.06955422372667061,13.6,26
46,13.154512551645702,-0.2633896694896468,-0.019869173650826705,0.9903058795142543,0.06148366445916294,0.050173748742923366,13.3,25
47,13.068249266620363,-0.25524115376250844,-0.018884433585141042,0.9869985652665487,0.0704166482508711,0.06283263263378736,13.5,25
48,13.232133277510668,-0.2677919092595888,-0.020259062629305193,0.9914750767364297,0.0595568737330336,0.05290130533125933,13.2,24
49,13.101638454302213,-0.26080188756256534,-0.01964322515249826,0.9911567311150689,0.05917081133048747,0.047091644071015105,13.3,24
50,13.142963927628916,-0.26090206546221334,-0.019525948698102556,0.9895262781597369,0.06397052488540068,0.04987188870374034,13.4,25
